Cluster,Variant,Pango lineage,Cluster count,Cluster %,Lineage %
4,Omicron,BA.1.1*,993,8.293660736657479,7.643165024630543
4,Omicron,BA.5.1*,718,5.996826192265932,9.405292114225832
4,Omicron,XBB.1.5*,621,5.186670007516913,7.6074972436604185
4,Omicron,BA.2.12*,540,4.510147832623403,10.114253605544109
4,Omicron,Unassigned,513,4.2846404409922325,7.952255464269106
4,Omicron,BQ.1.1*,418,3.4911885074751523,3.8600055406778098
4,Omicron,BA.1,408,3.4076672513154596,7.6290201944652205
4,Omicron,BA.2.3*,284,2.372003674935271,11.446997178557034
4,Omicron,BA.1.17*,245,2.0462707759124696,7.188967136150234
4,Omicron,BA.5.5*,223,1.862524012361146,10.494117647058824
4,Omicron,BA.1.15*,220,1.8374676355132382,7.058068655758742
4,Omicron,BF.5,206,1.7205378768896682,8.586911213005418
4,Omicron,BA.4.6*,195,1.6286644951140066,9.189443920829406
4,Omicron,BA.4.1*,185,1.5451432389543138,8.447488584474886
4,Omicron,CH.1.1*,183,1.5284389877223752,6.966121050628093
4,Omicron,BA.2.9*,163,1.36139647540299,7.3159784560143635
4,Omicron,BE.1.1*,145,1.2110582143155433,12.554112554112553
4,Omicron,BA.4,140,1.169297586235697,12.280701754385964
4,Omicron,XBB.1.9*,129,1.077424204460035,11.824014665444546
5,Omicron,BA.5.2*,3738,10.547404063205418,23.469579958560935
5,Omicron,BA.2,3527,9.952031602708804,25.314002727337975
5,Omicron,BA.1.1*,3452,9.740406320541762,26.570197044334975
5,Omicron,BQ.1.1*,2058,5.806997742663657,19.004524886877828
5,Omicron,BA.5.1*,2011,5.674379232505643,26.342677495415245
5,Omicron,BA.1,1377,3.8854401805869077,25.74794315632012
5,Omicron,XBB.1.5*,1132,3.194130925507901,13.867450692147495
5,Omicron,Unassigned,1091,3.0784424379232505,16.91210665013176
5,Omicron,BA.2.12*,1058,2.985327313769752,19.816445027158643
5,Omicron,BA.1.17*,876,2.471783295711061,25.704225352112676
5,Omicron,BA.1.15*,753,2.1247178329571104,24.157844080846967
5,Omicron,BA.4.1*,751,2.1190744920993225,34.29223744292237
5,Omicron,BA.5.5*,702,1.9808126410835216,33.035294117647055
5,Omicron,BA.2.9*,596,1.6817155756207676,26.750448833034113
5,Omicron,BA.2.3*,554,1.5632054176072236,22.329705763804917
5,Omicron,BF.5,550,1.5519187358916477,22.926219258024176
5,Omicron,BA.4.6*,508,1.4334085778781038,23.939679547596608
5,Omicron,BF.7,388,1.0948081264108351,22.492753623188406
5,Omicron,BA.4,374,1.0553047404063205,32.80701754385965
6,Omicron,BA.5.2*,1431,12.866390936881855,8.984742889433038
6,Omicron,BA.2,1021,9.180003596475455,7.32792650541879
6,Omicron,BA.1.1*,766,6.887250494515375,5.8959359605911335
6,Omicron,BQ.1.1*,723,6.500629383204459,6.676516760550374
6,Omicron,BA.5.1*,680,6.114008271893544,8.907518993974325
6,Omicron,XBB.1.5*,368,3.3087574177306243,4.508146514761729
6,Omicron,BA.1,352,3.164898399568423,6.581899775617053
6,Omicron,BA.2.12*,305,2.7423125337169574,5.71268027720547
6,Omicron,BF.5,242,2.175867649703291,10.087536473530639
6,Omicron,Unassigned,236,2.1219205178924656,3.6583475430165864
6,Omicron,BA.1.17*,231,2.0769645747167775,6.778169014084508
6,Omicron,BA.4.6*,206,1.8521848588383385,9.707822808671066
6,Omicron,BA.5.5*,182,1.636396331595037,8.564705882352941
6,Omicron,BA.2.3*,180,1.6184139543247618,7.255139056831923
6,Omicron,BA.4.1*,177,1.591440388419349,8.082191780821917
6,Omicron,BA.1.15*,173,1.555475633878799,5.550208533846647
6,Omicron,BA.2.9*,155,1.3936342384463225,6.956912028725314
6,Omicron,BF.7,126,1.132889768027333,7.304347826086957
6,Omicron,BA.4,112,1.0070131271354072,9.824561403508772
7,Omicron,BA.5.2*,711,12.471496228731802,4.464117536259183
7,Omicron,BQ.1.1*,649,11.383967724960534,5.993166497368178
7,Omicron,BA.2,316,5.542887212769689,2.2679968420297136
7,Omicron,BA.5.1*,291,5.104367654797404,3.8118941577154835
7,Omicron,BA.1.1*,240,4.209787756533942,1.8472906403940887
7,Omicron,XBB.1.5*,175,3.0696369058059987,2.1438196741394093
7,Omicron,BA.2.12*,142,2.490791089282582,2.6596740962727106
7,Omicron,BA.1,112,1.9645676197158395,2.094240837696335
7,Omicron,BA.1.17*,111,1.947026837396948,3.2570422535211265
7,Omicron,BF.7,109,1.9119452727591653,6.318840579710145
7,Omicron,BF.5,105,1.8417821434835995,4.376823676531888
7,Omicron,BA.4.6*,101,1.7716190142080337,4.759660697455231
7,Omicron,CH.1.1*,89,1.5611296263813366,3.3878949371907123
7,Omicron,BQ.1,85,1.490966497105771,6.231671554252199
7,Omicron,XBB.1,85,1.490966497105771,7.172995780590717
7,Omicron,BA.4.1*,75,1.3155586739168568,3.4246575342465753
7,Omicron,Unassigned,72,1.2629363269601825,1.116106030072857
7,Omicron,BA.2.3*,68,1.1927731976846168,2.740830310358726
7,Omicron,BA.2.9*,65,1.1401508507279425,2.917414721723519
7,Omicron,BA.1.15*,63,1.1050692860901596,2.021174205967276
7,Omicron,BA.5.5*,58,1.0173653744957025,2.7294117647058824
8,Omicron,BA.2,1878,13.405667784995359,13.478791358644942
8,Omicron,BA.1.1*,1843,13.155828396031122,14.185652709359605
8,Omicron,BA.5.2*,1245,8.887143978870727,7.816914673196459
8,Omicron,BA.2.12*,815,5.817688628738668,15.265030904663796
8,Omicron,BA.5.1*,785,5.603540581055036,10.282944720985068
8,Omicron,Unassigned,736,5.2537654365051045,11.409083862966982
8,Omicron,BA.1,656,4.682703976015419,12.266267763649964
8,Omicron,BA.2.3*,373,2.6625740595331573,15.034260378879486
8,Omicron,BA.1.15*,360,2.5697765722035837,11.549566891241577
8,Omicron,BA.1.17*,348,2.484117353130131,10.211267605633804
8,Omicron,BA.2.9*,312,2.2271396959097722,14.003590664272892
8,Omicron,BQ.1.1*,281,2.005853379970019,2.5948841074891495
8,Omicron,BA.4.1*,251,1.7917053322863874,11.461187214611872
8,Omicron,BA.5.5*,233,1.663216503676208,10.964705882352941
8,Omicron,BA.4.6*,210,1.4990363337854238,9.896324222431668
8,Omicron,XBB.1.5*,196,1.3991005781997288,2.401078035036139
8,Omicron,BF.5,195,1.3919623099436076,8.128386827844935
9,Omicron,BA.5.2*,843,8.722193481634765,5.292898851007723
9,Omicron,BQ.1.1*,638,6.601138127263321,5.891587404192446
9,Omicron,XBB.1.5*,558,5.773409208484222,6.835722160970231
9,Omicron,BA.2,557,5.763062596999482,3.997703294337185
9,Omicron,BA.5.1*,460,4.759441282979824,6.025674613570867
9,Omicron,CH.1.1*,431,4.459389549922401,16.406547392462887
9,Omicron,BA.1.1*,359,3.714433523021211,2.7632389162561575
9,Omicron,BN.1.3*,347,3.590274185204346,25.054151624548737
9,Omicron,BA.2.75*,304,3.1453698913605797,24.01263823064771
9,Omicron,Unassigned,283,2.9280910501810657,4.386916757091924
9,Omicron,BA.2.12*,227,2.348680807035696,4.251732534182431
9,Omicron,BA.1,165,1.7071908949818935,3.0852655198204935
9,Omicron,BN.1.2*,144,1.4899120538023798,18.7012987012987
9,Omicron,BM.1.1*,132,1.3657527159855147,30.484988452655887
9,Omicron,BF.5,130,1.345059493016037,5.418924551896623
9,Omicron,BA.4.6*,116,1.2002069322296949,5.466540999057493
9,Omicron,BR.2.1*,111,1.148473874806001,31.805157593123205
9,Omicron,XBB,108,1.1174340403517846,15.147265077138849
9,Omicron,XBF,106,1.0967408173823074,22.943722943722943
9,Omicron,BA.1.15*,101,1.0450077599586136,3.2402951555983313
9,Omicron,BF.7,99,1.024314536989136,5.739130434782608
10,Omicron,BA.1.1*,2384,12.791072003433845,18.34975369458128
10,Omicron,BA.5.2*,2072,11.11707264727975,13.009355183022539
10,Omicron,BA.1,1387,7.4417855993132305,25.93492894540015
10,Omicron,BQ.1.1*,1262,6.771112780341239,11.653892326161234
10,Omicron,BA.2,1212,6.502843652752441,8.698772697911433
10,Omicron,BA.1.17*,1001,5.370747934327717,29.372065727699532
10,Omicron,BA.1.15*,891,4.7805558536323645,28.585178055822908
10,Omicron,BA.5.1*,772,4.142075329971027,10.1126539166885
10,Omicron,XBB.1.5*,369,1.9798261616053223,4.5203969128996695
10,Omicron,Unassigned,294,1.5774224702221267,4.557432956130833
10,Omicron,BF.5,267,1.4325571413241764,11.129637348895374
10,Omicron,BA.4.6*,242,1.298422577529778,11.404335532516493
10,Omicron,BF.7,227,1.2179418392531387,13.159420289855072
10,Omicron,BA.2.3*,203,1.089172658010516,8.18218460298267
10,Omicron,BA.2.9*,187,1.0033265371821012,8.393177737881508
