Cluster,Variant,Pango lineage,Cluster count,Cluster %,Lineage %
1,Omicron,BA.5.1*,99,1.877133105802048,1.2968299711815563
1,Omicron,Unassigned,87,1.6496018202502845,1.3486281196713688
2,Omicron,BA.1,3900,33.643892339544514,72.92445774121167
2,Omicron,BA.1.17*,3033,26.164596273291924,88.99647887323944
2,Omicron,BA.1.15*,2383,20.55728088336784,76.45171639396857
2,Omicron,BA.1.18*,565,4.874051069703244,82.12209302325581
2,Omicron,BA.1.20*,287,2.475845410628019,71.21588089330024
2,Omicron,BA.1.1*,256,2.2084195997239475,1.9704433497536946
2,Omicron,BA.1.16*,160,1.3802622498274673,94.67455621301775
2,Omicron,BA.1.14*,159,1.3716356107660457,67.65957446808511
2,Omicron,Unassigned,159,1.3716356107660457,2.464734149744226
3,Omicron,BA.4.6*,1960,16.082711085583,92.36569274269557
3,Omicron,BA.5.2*,1733,14.22007056699762,10.880894079236517
3,Omicron,BF.7,1627,13.350291294001806,94.31884057971016
3,Omicron,BF.7.14*,646,5.300730286370723,97.73071104387292
3,Omicron,BA.5.1*,584,4.791991466316567,7.649986900707361
3,Omicron,Unassigned,547,4.488389267251989,8.479305534025732
3,Omicron,BA.5.9*,404,3.3150077951915975,95.73459715639811
3,Omicron,BF.7.4*,354,2.9047345532124393,93.65079365079364
3,Omicron,BA.4.1*,302,2.478050381554115,13.789954337899543
3,Omicron,BF.11,245,2.010338885697875,95.703125
3,Omicron,BE.1.2*,236,1.9364897021416263,92.54901960784314
3,Omicron,BF.7.15*,198,1.6246820382374663,99.49748743718592
3,Omicron,BF.7.5*,196,1.6082711085583,95.60975609756098
3,Omicron,BF.13,143,1.1733814720603923,95.9731543624161
3,Omicron,BQ.1.1*,143,1.1733814720603923,1.3205282112845138
3,Omicron,BF.7.6*,125,1.0256831049478954,91.91176470588235
4,Omicron,BQ.1.1*,10285,79.07888666769183,94.97645211930926
4,Omicron,Unassigned,538,4.1365523604490235,8.339792280266625
4,Omicron,BQ.1.18*,246,1.8914347224357988,97.23320158102767
4,Omicron,BQ.1.25*,133,1.022604951560818,86.36363636363636
5,Omicron,BQ.1,1272,15.497076023391813,93.25513196480938
5,Omicron,BQ.1.2*,670,8.162768031189085,92.1595598349381
5,Omicron,BQ.1.23*,523,6.371832358674465,95.26411657559198
5,Omicron,BQ.1.10*,458,5.579922027290448,93.08943089430895
5,Omicron,BQ.1.3*,455,5.5433723196881095,89.74358974358975
5,Omicron,BQ.1.12*,420,5.116959064327485,94.17040358744396
5,Omicron,BQ.1.13*,307,3.740253411306043,89.50437317784257
5,Omicron,BA.5.2*,296,3.6062378167641325,1.8584793118603629
5,Omicron,Unassigned,293,3.5696881091617936,4.541931483490932
5,Omicron,CL.1,268,3.2651072124756335,94.36619718309859
5,Omicron,BQ.1.8*,250,3.0458089668615984,93.28358208955224
5,Omicron,CK.1,227,2.7655945419103314,95.37815126050421
5,Omicron,BQ.1.5*,198,2.4122807017543857,94.73684210526315
5,Omicron,BQ.1.1*,189,2.302631578947368,1.7453135100193924
5,Omicron,BQ.1.14*,187,2.2782651072124755,93.03482587064677
5,Omicron,BQ.1.11*,185,2.2538986354775825,80.78602620087337
5,Omicron,DL.1,181,2.2051656920077973,87.86407766990291
5,Omicron,CK.2.1*,150,1.827485380116959,92.5925925925926
5,Omicron,BQ.1.28*,143,1.7422027290448343,89.937106918239
5,Omicron,BE.9,134,1.6325536062378168,95.71428571428572
5,Omicron,BW.1.1*,128,1.5594541910331383,90.14084507042254
5,Omicron,BA.5.1*,103,1.2548732943469785,1.3492271417343464
5,Omicron,BE.10,98,1.1939571150097466,95.14563106796116
6,Omicron,BA.5.2*,12467,35.54383464005702,78.27588371947009
6,Omicron,BA.5.1*,6478,18.468995010691376,84.85721771024365
6,Omicron,BF.5,2274,6.483250178189594,94.78949562317632
6,Omicron,BA.5.5*,1753,4.997861724875268,82.49411764705883
6,Omicron,BA.4.1*,1715,4.88952245188881,78.31050228310502
6,Omicron,Unassigned,1550,4.419101924447612,24.027282591846223
6,Omicron,BA.4,1004,2.8624376336421955,88.0701754385965
6,Omicron,BE.1.1*,898,2.5602280826799713,77.74891774891775
6,Omicron,BA.5.6*,715,2.0384889522451886,82.27848101265823
6,Omicron,BE.1,583,1.662152530292231,86.75595238095238
6,Omicron,BA.5,536,1.5281539558089807,70.52631578947368
7,Omicron,BA.1.1*,8941,92.77783542596244,68.81927339901478
7,Omicron,Unassigned,288,2.988481892705199,4.464424120291428
7,Omicron,BC.1,184,1.9093078758949882,98.3957219251337
7,Omicron,BA.1,145,1.5046176195911591,2.7112939416604336
8,Omicron,BA.2,11306,48.98613518197574,81.14548194932894
8,Omicron,BA.2.3*,2099,9.094454072790295,84.60298266827891
8,Omicron,BA.2.9*,1939,8.401213171577123,87.02872531418312
8,Omicron,Unassigned,893,3.8691507798960143,13.842815067431404
8,Omicron,BA.2.10*,885,3.8344887348353556,87.97216699801193
8,Omicron,BA.2.12*,728,3.1542461005199307,13.635512268215022
8,Omicron,BA.5.2*,405,1.7547660311958406,2.542851761160294
8,Omicron,BA.2.38*,369,1.5987868284228768,69.75425330812854
8,Omicron,BA.2.36*,328,1.4211438474870017,89.61748633879782
8,Omicron,BA.2.18*,327,1.4168110918544194,94.50867052023122
8,Omicron,BA.2.2*,245,1.0615251299826691,93.86973180076629
8,Omicron,BA.2.76*,242,1.048526863084922,92.72030651340997
9,Omicron,BA.1.1*,2481,37.179679304660574,19.09636699507389
9,Omicron,BA.1,845,12.662970178330585,15.800299177262527
9,Omicron,BA.2,835,12.51311254308407,5.992966338907629
9,Omicron,BA.1.15*,554,8.302112992656976,17.773500160410652
9,Omicron,Unassigned,358,5.364903341825266,5.549527205084483
9,Omicron,B.1.1*,304,4.555672111494081,34.04255319148936
9,Omicron,BA.1.17*,238,3.5666117188670765,6.98356807511737
9,Omicron,BA.5.2*,103,1.543533643039113,0.6467005713568155
9,Omicron,BA.2.12*,101,1.5135621159898096,1.891740026222139
9,Omicron,BA.1.20*,90,1.3487187172186423,22.332506203473944
9,Omicron,BA.1.18*,71,1.0639892102502622,10.319767441860465
9,Omicron,BA.2.9*,68,1.0190319196763074,3.052064631956912
